question,subject,choices,answer,a,b,solution,а,sol,c,d,(,?,ad,.,the,e,,ac,с,false,ba,',band,}',i,cho,f,'},4,output,y,bb,part,none,s,[,da,all,iv,v,zero,one,unknown,ada,ab,abcd,0,options,process,close,clos,option,choice,ind,3,t,cor,and,unit,test,bi,not,},db,abc,{,aa,it,interval,intervals,interv,for,inter,1,how,either,monte,mon,correct,mont,simulation,valid,map
Which one of the following is the most appropriate definition of a 99% confidence interval?,econometrics,"['99% of the time in repeated samples, the interval would contain the true value of the parameter'
 '99% of the time in repeated samples, the interval would contain the estimated value of the parameter'
 '99% of the time in repeated samples, the null hypothesis will be rejected'
 '99% of the time in repeated samples, the null hypothesis will not be rejected when it was false']",0,0.9999907778020781,4.2228069778170326e-06,1.2098544553592622e-06,5.043423717781038e-07,3.466291049631013e-07,3.0589911147560753e-07,2.102411797088695e-07,1.855371898888086e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,"['ADF is a single equation approach to unit root testing while PP is a systems approach'
 'PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test'
 'The PP test incorporates an automatic correction for autocorrelated residuals in the test regression'
 'PP tests have good power in small samples whereas DF tests do not.']",2,0.9985844228035511,0.000295617308566861,,,,0.0010318057910601675,5.821049944925574e-05,,3.2840116575137666e-06,3.2840116575137666e-06,2.898130115807602e-06,2.257066003633782e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",econometrics,"['It would rise more quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be symmetrical about zero'
 'It would rise less quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be zero for all positive disturbances']",0,0.9998961305454046,2.7533560812763516e-05,,9.421466414325935e-07,1.2097402338464421e-06,6.604957878867904e-05,4.22240830556417e-06,,,,1.8551967345249714e-07,,4.450385611900391e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false concerning the linear probability model?,econometrics,"['There is nothing in the model to ensure that the estimated probabilities lie between zero and one'
 'Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one'
 'The error terms will be heteroscedastic and not normally distributed'
 'The model is much harder to estimate than a standard regression model with a continuous dependent variable']",3,0.10613744742968159,0.026834368817187277,,,,0.08265567496078087,0.7842242697624189,,,1.6817819383424147e-05,,,9.677986842843365e-05,3.7525627323707973e-06,3.7525627323707973e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements concerning the regression population and sample is FALSE?,econometrics,"['The population is the total collection of all items of interest'
 'The population can be infinite'
 'In theory, the sample could be larger than the population'
 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2,1.669693900224446e-05,6.603767479180179e-05,,,7.483048903446035e-05,0.9997419846906153,1.669693900224446e-05,,,,,,6.960319714924485e-06,,,1.0127205428212931e-05,9.005400425529031e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,econometrics,"['Asymptotically, the values of the two test statistics will be equal'
 'The Q test has better small-sample properties than the Q*'
 'The Q test is sometimes over-sized for small samples'
 'As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.']",1,7.483562741278485e-05,0.9998057722424548,,,2.9016921705206325e-06,1.8921409786843124e-05,8.937841114011185e-06,,,,,,6.9607976585597085e-06,,,,,6.142882373197047e-06,3.7258464983523122e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A parsimonious model is one that,econometrics,"['Includes too many variables'
 'Includes as few variables as possible to explain the data'
 'Is a well-specified model' 'Is a mis-specified model']",0,4.676299457257123e-05,0.9998335800422891,1.9943970171438037e-06,,,7.483919593865524e-05,8.938267313648223e-06,,3.726024164793794e-06,,,,2.5608564609788613e-06,,,,,,,1.760049190153363e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,econometrics,"['They can be interpreted as continuously compounded changes in the prices'
 'They can be added over time to give returns for longer time periods'
 'They can be added across a portfolio of assets to give portfolio returns'
 'They are usually fat-tailed']",9.643600443957947e-06,3.535200499248973e-05,6.961222524898183e-06,,,2.429705401510311e-05,1.1477115646876487e-05,0.9998615127013772,,,,5.4214055535250076e-06,,,,,,,,,,5.4214055535250076e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iii) only'
 '(i), (ii), (iii), and (iv)']",1,0.0024645727136030325,0.0009066656326066687,,,,0.9943831561378011,0.0021749777859491875,5.1150599202918914e-05,,,1.7502772552380897e-06,,,3.705336978415823e-06,,,,,,,,2.885719340333676e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",econometrics,['Less than -1' 'Between -1 and 0' 'Between 0 and 1' 'Bigger than 1'],7.545764142982921e-06,0.0011295796472509628,0.042023588272734995,,,,0.9565886616340964,0.00015156072430754902,,,,,2.324258985117752e-05,1.5974382816050167e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
