question,subject,choices,answer,d,b,a,the,c,,bd,e,с,output,sol,}',ad,ab,solution,4,cd,.,cab,ca,this,f,none,all,general,?,**,ba,i,а,ac,least,option,one,choice,most,',"""",le,correct,1,'},bc,sample,2,(,plan,ii,sam,band,iii,either,wrong,h,0,z,there,8,she,to,μ,any,statement,{',s,dd,options,unknown,3,different,no,group,an,6,cho,__,____,bad,for,we,9,{,not,true,false,x,population,df,str,st,aa,teacher,cc,placeholder,place,effect,so,therefore,hence,now,mean,σ,too,p,clos,power,point
"The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test?",high_school_statistics,"['P(t > 1.54) with df = 6' '2P(t > 1.54) with df = 6'
 'P(t > 1.54) with df = 7' '2P(t > 1.54) with df = 7']",7.308094120826069e-05,0.5922112177083754,0.4070340036627671,0.00017531206432435856,0.00010633214203023683,5.691549424058872e-05,2.6884975811977973e-05,1.73582450160531e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders?",high_school_statistics,"['0 to 31.7 minutes' '31.7 to 39.3 minutes' '25.3 to 44.7 minutes'
 '25.3 to 35 minutes']",4.219988890769204e-06,0.00029584406128581694,0.00026108146773278065,1.2998480883594214e-05,,0.9993664581867207,,,1.8912678088708394e-05,6.1400476058533775e-06,4.219988890769204e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All of the following statements are true for all discrete random variables except for which one?,high_school_statistics,"['The possible outcomes must all be numerical.'
 'The possible outcomes must be mutually exclusive.'
 'The mean (expected value) always equals the sum of the products obtained by multiplying each value by its corresponding probability.'
 'Approximately 95% of the outcomes will be within two standard deviations of the mean.']",3.725970863971808e-06,0.9998384886950492,8.48027059855355e-05,1.473650063437517e-05,1.9943684872696865e-06,1.8922041367572744e-05,,,2.901789026562483e-06,,,5.421255618196543e-06,1.2096456342937696e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a true statement about hypothesis testing?,high_school_statistics,"['If there is sufficient evidence to reject a null hypothesis at the 10% level, then there is sufficient evidence to reject it at the 5% level.'
 'Whether to use a one- or a two-sided test is typically decided after the data are gathered.'
 'If a hypothesis test is conducted at the 1% level, there is a 1% chance of rejecting the null hypothesis.'
 'The power of a test concerns its ability to detect an alternative hypothesis.']",4.183368845959656e-06,0.008570804369575814,2.727899155812704e-05,0.9906552032077958,,6.086765755052552e-06,,,,,,7.815561934912028e-06,,0.0007035344648823364,1.743887586186893e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An outlier is an observation that,high_school_statistics,"['is seen more frequently than the other observations in the data set'
 'is seen less frequently than the other observations in the data set'
 'is always smaller than the other observations in the data set'
 'is significantly different from the other observations in the data set']",9.863966619344764e-06,0.9999345307123216,7.888798175527012e-06,2.9021266643271706e-06,,6.961839955017595e-06,,,,,3.7264043994433e-06,1.6700585868644718e-05,,,,4.222569380730592e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The principal of a school is interested in estimating the average income per family of her students. She selects a random sample of students and collects information about their family income. A 95 percent confidence interval computed from this data for the mean income per family is ($35,095, $45,005). Which of the following provides the best interpretation of this confidence interval?",high_school_statistics,"['95 percent of the students in her school are from families whose income is between $35,095 and $45,005.'
 'There is a 95% probability that the families of all the students in this school have an income of between $35,095 and $45,005.'
 'If we were to take another sample of the same size and compute a 95 percent confidence interval, we would have a 95% chance of getting the interval ($35,095, $45,005).'
 'There is a 95% probability that the mean income per family in the school is between $35,095 and $45,005.']",4.220379284842905e-06,0.9994179157604887,0.0004878092874662812,2.752032993564874e-05,5.419074269800723e-06,1.2999683381997746e-05,,,,,4.782316257975016e-06,5.419074269800723e-06,,,,,3.7244716466060533e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Researchers are conducting an experiment using a significance level of 0.05. The null hypothesis is, in fact, false. If they modify their experiment to use twice as many experimental units for each treatment, which of the following would be true?",high_school_statistics,"['The probability of a Type I error and the probability of a Type II error would both decrease.'
 'The probability of a Type I error and the power would both increase.'
 'The probability of a Type II error and the power would both increase.'
 'The probability of a Type I error would stay the same and the power would increase.']",3,0.22016849294639956,0.010960192522761633,0.00033096897817391666,,0.768450374241671,,,3.488387365356342e-05,,,,,,,,,1.1325135652646294e-05,3.244705689575523e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The mean height of adult men is 70 inches, with a standard deviation of four inches. The mean height of adult women is 66 inches, with a standard deviation of three inches. Between a man with a height of 74 inches and a woman with a height of 70 inches, who is more unusually tall within his or her respective sex?",high_school_statistics,"['It cannot be determined, because the mean heights for the two groups are different.'
 'It cannot be determined, because the standard deviations of the heights for the two groups are different.'
 'The man, because he is 74 inches tall and the woman is only 70 inches tall.'
 'The woman, because her height is 1.33 standard deviations above the mean height of all women, whereas the man’s height is only one standard deviation above the mean height of all men.']",1.3668024844097925e-06,0.9970109096992358,0.00012303563870099573,2.4227153726431036e-05,4.7706094257010675e-06,0.0028002782295997197,,,1.4694511532651602e-05,,,,,,,,,,6.125583755690281e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not true about t-distributions?,high_school_statistics,"['There are different t-distributions for different values of df (degrees of freedom).'
 't-distributions are bell-shaped and symmetric.'
 't-distributions always have mean 0 and standard deviation 1.'
 't-distributions are more spread out than the normal distribution.']",2,5.8275542489022725e-05,9.608012646324085e-05,5.142798574299954e-05,,0.9996852849218494,,,4.221466138944004e-06,2.9013684180753346e-06,,6.603484082306621e-05,,,,,,,,1.9940794075659006e-06,1.7597689006846323e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To study the effect of alcohol on reaction time, subjects were randomly selected and given three beers to consume. Their reaction time to a simple stimulus was measured before and after drinking the alcohol. Which of the following is a correct statement?",high_school_statistics,"['This study was an observational study.'
 'Lack of blocking makes this a poorly designed study.'
 'The placebo effect is irrelevant in this type of study.'
 'This study was an experiment in which the subjects were used as their own controls.']",3,0.9991681044713387,0.0004303779151603657,0.00017940820693877578,5.417658414040875e-06,0.00013972325205335523,,,1.8909485891381456e-05,,,,,,,,,,,,,4.691368364982706e-05,1.0668001939928857e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
