question,subject,choices,answer,b,a,d,c,e,<|end|>,f,.b,а,g,bd,bc,б,l,_d,.d,-d,t,­d,aa,.a,p,cd,ab,abc,3,o,(a,70,r,bi,-b,bb,h,_b,.c,-c,с,_c,(c,de,ci,ac,_a,-a,ba,du,$b,none,n,á,9,7,8,1,125,ad,k,da,j,i,bm,m
Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,high_school_macroeconomics,"['inflation had already impacted the economy before the fiscal stimulus.'
 'the economy initially had some unemployed resources.'
 'aggregate supply decreased.' 'aggregate demand is steeply sloped.']",1,0.9999999993535281,5.905303993670791e-10,3.7751345409080227e-11,1.7832472892222558e-11,1.3615261068738543e-13,1.3615261068738543e-13,7.287724089311987e-14,1.2664165537785479e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,high_school_macroeconomics,['II III and IV only' 'I and III only' 'II and IV only' 'III and IV only'],3,8.93153698568161e-06,0.9990779948469759,0.0009110415404302199,1.9928952779867618e-06,3.6501113753537004e-08,,8.584239167169619e-10,,1.4153017707689706e-09,4.054907463300313e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,high_school_macroeconomics,"['The price level rises but real GDP falls.'
 'Both the price level and real GDP rise.'
 'The price level rises but the change in real GDP is uncertain.'
 'Real GDP rises but the change in the price level is uncertain.']",3,0.005216876252605071,6.438133079836407e-07,0.9941594066601226,0.0006230660364358005,4.915575265811012e-09,,,,,,2.3219533430501448e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs and quotas,high_school_macroeconomics,"['result in lower domestic prices.'
 'sometimes raise and sometimes lower the amount of the product sold domestically.'
 'lower the amount of the product sold domestically.'
 'raise the amount of the product sold domestically.']",2,0.996188365647829,1.6638037925162386e-05,0.0006243377670606607,0.0031706500472589473,7.1667107260790875e-09,,6.666079375068295e-10,,,,,6.666079375068295e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A likely cause of falling Treasury bond prices might be,high_school_macroeconomics,"['expansionary monetary policy.' 'contractionary monetary policy.'
 'a depreciating dollar.'
 'fiscal policy designed to reduce the budget deficit.']",1,0.9999999907224545,9.237449574886106e-09,6.5602001063086055e-12,3.331544510758842e-11,1.8426251973525263e-14,1.7482341117898765e-13,1.4350379466052492e-14,,,,,,1.2664165429704905e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households demand more money as an asset when,high_school_macroeconomics,"['nominal GDP falls.' 'the nominal interest rate falls.'
 'bond prices fall.' 'the supply of money falls.']",1,0.9985542033835332,0.0007091476992714732,0.0007091476992714732,2.7496632025948734e-05,3.3933505780135797e-09,,6.681903468717741e-10,,,,2.7854317752665087e-10,,,2.458134914033405e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocative efficiency,high_school_macroeconomics,"['means that no inferior products will be produced.'
 ""implies that the economy's output is distributed evenly.""
 'means that those who work hardest will get more.'
 'implies that resources are used to produce the goods and services society desires in just the right amounts.']",3,1.0060392791334221e-12,,0.9999999999985072,3.26613134230081e-13,4.111452591935448e-15,,8.703945205429567e-15,,,,,,,,8.258073284325508e-14,5.675685231787074e-14,7.681204684057633e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP measures,high_school_macroeconomics,"[""production within a nation's borders.""
 ""production by a nation's citizens wherever they may be.""
 'income earned by the factors of production plus depreciation and indirect business taxes.'
 '(A) and (C)']",3,2.2159403178403915e-08,3.288849647929905e-06,0.999996682490988,6.348775306171665e-09,1.0261839530278685e-10,,,,,5.789333705055793e-12,,,,,,,,4.277771152208728e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every choice results in a foregone best alternative which economists call the,high_school_macroeconomics,['accounting cost' 'switching cost' 'inferior cost' 'opportunity cost'],3,1.5737102105249178e-11,6.431393940792508e-14,0.9999999999795067,4.508755241832485e-12,1.4350379599866734e-14,,,,,,,,,,5.675685232050723e-14,1.0603575990436527e-13,,,5.2792096277970406e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a nation is operating at the natural rate of unemployment,high_school_macroeconomics,"['there is no cyclical unemployment.' 'the inflation rate is zero.'
 'there is no structural unemployment.'
 'the nation is experiencing a recession.']",0,5.0087746368521496e-14,0.9999999999946811,,6.431393940179074e-14,2.365977608666478e-14,3.03797538484184e-14,,,5.1090890270521146e-12,,,,,,,,,,,2.6810038672511685e-14,1.4350379598497975e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
