question,subject,choices,answer,a,а,<|end|>,ai,b,aa,­a,c,d,n,д,t,ɑ,e,ad,­d,б,​,f,bb,ba,p,с,g,ci,cc,s,cj,aie,h,bd,3,an,ch,dq,د,aut,ç,'a,ab,br,i,between,none,'b,all,r
What is the structure of the United Nations Security Council?,us_foreign_policy,"['5 permanent members with veto power, 10 rotating members with no veto power'
 '5 permanent members and 10 rotating members, all with veto power'
 '10 permanent members with veto power, and 5 rotating members without veto power'
 '15 permanent members with veto power']",0,0.9999999999987619,1.1399918530428674e-12,9.357622968827962e-14,1.942112687897488e-15,1.177950889826739e-15,5.923109047038532e-16,4.910429870152707e-16,2.628363706940257e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"['It allowed the US to intensify its involvement in Vietnam'
 'It illustrated the influence of public opinion on US foreign policy'
 'It enhanced Congressional control over the Vietnam War'
 'It curtailed US involvement in Vietnam']",0,0.9999999999999118,5.0087746378428623e-14,3.4424771084695344e-14,6.242911005539591e-17,1.177950889828125e-15,3.786516930717187e-17,,2.4937220533350553e-15,5.175555005801203e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,['Terrorists' 'Organized crime' 'Drug traffickers' 'China'],3,1.0603575991517237e-13,,1.5428112031909262e-13,,7.28772409581515e-14,,,2.2447770550195752e-13,0.9999999999994366,2.4937220533338215e-15,2.2007019879739946e-15,8.618072811294337e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who was the first American president to visit communist China?,us_foreign_policy,['Richard Nixon' 'George H. W. Bush' 'Jimmy Carter' 'Ronald Reagan'],0,0.9999999999999012,9.357622968839213e-14,5.279209628337842e-15,3.7865169307172846e-17,5.864672148586054e-17,4.03072629134721e-17,,2.1574923126755594e-17,,,,,2.948942350755754e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"['on nuclear weapons signed between the United States and the Soviet Union.'
 'cutting conventional arms in Europe.'
 'to be rejected by the U.S. Senate.'
 'mandating the elimination of many long-range nuclear missiles.']",3,0.0017007182695925526,,2.3316144655928804e-09,,1.9913377565090927e-06,,,1.852232642676018e-07,0.9982970948700948,4.0517384029217705e-10,,3.806255982807721e-10,,7.181878162100201e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"['It ended the influence of American exceptionalism entirely'
 ""Exceptionalism was enhanced by America's status as the 'leader of the free world'""
 'The extension of American power globally challenged core assumptions of exceptionalism'
 'Both b and c']",3,2.413362758848714e-12,,2.2897348333262025e-11,,4.944450475336254e-09,,,4.058652104639122e-10,0.999999994624203,,1.0603575934473935e-13,,,6.43139390684948e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"['He believed that internal reform rather than international negotiation was the key to economic regeneration of the US'
 'He believed that German domination of Europe would be in US interests'
 'He always favoured isolationism' 'All of the above']",0,0.9999999682997625,1.250152826189241e-09,1.1628232656325963e-10,,9.736199999951107e-10,,,7.194132799004733e-09,2.2159489060848217e-08,,,,,,6.5601999572166494e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the 'New Populism'?,us_foreign_policy,"['A strand of neo-isolationist sentiment'
 'A strand of internationalist sentiment'
 'An expression of American cultural superiority'
 'Increased incorporation of public opinion in foreign policy making']",0,0.9840820585737233,8.455388340059521e-10,7.009763139432383e-10,,1.1296179142363839e-05,,,4.380003977703788e-07,0.01590620504171489,,,,,6.585063060411181e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"['The war reduced European population levels below that of the United States'
 'The United States seized German resources after the war'
 'European countries paid the United States for assistance'
 'The United States became a creditor country and financial centre, with European war spending boosting the US economy']",3,2.2447770530871267e-13,,1.0060392784166265e-12,,6.914400100983533e-13,,,8.592166611772065e-10,0.9999999991388235,,2.365977607096501e-14,8.176599818167492e-15,,5.6196893919907305e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In American government, the power to declare war rests with",us_foreign_policy,"['the president of the United States.' 'the secretary of defense.'
 'the chairman of the Joint Chiefs of Staff.' 'Congress.']",3,2.0879679116458667e-14,,2.8257572871155207e-15,,5.279209628338216e-15,,,2.4937220533352963e-15,0.9999999999999685,,1.0848552640429031e-17,6.935247674910081e-19,,,,1.885195773057092e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
