question,subject,choices,answer,d,c,b,a,<|end|>,e,д,t,б,bb,','b,а,aa,ai,­a,bd,с,cj,cc,bc,st,v,​,ch,ad,s,­d,f,g,y,i,q,for,p,ц,co,ba,ci,,dq,ab,n,pend,be,h,an,bfd,ɑ,ا,à,aed,affirm,j
Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?,high_school_government_and_politics,"['Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater.'
 'Once a church has been recognized by the federal government, its tax-exempt status can never be revoked.'
 'Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment.'
 'State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.']",3,0.9999999972067326,1.8189616819425126e-09,6.691586070652784e-10,2.7894680842648933e-10,1.5737102058322278e-11,5.109089012304492e-12,3.978962523564248e-12,1.3750926529941463e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does NOT accurately describe voting behavior in the United States?,high_school_government_and_politics,"['Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21.'
 'A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout.'
 'Registered voters are more likely to vote in general elections than they are in primary elections.'
 'More women than men have voted in every presidential election since 1980.']",1,2.3355930327616937e-09,3.775134534520156e-11,0.9999999974317069,1.9171715088023125e-10,2.4133627655945312e-12,,,,7.835041764810352e-13,1.8426252099602695e-14,1.6261110404142277e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following plays the most significant role in forming a child's political views?,high_school_government_and_politics,"['The geographical area in which the child grows up' ""The child's family""
 'The media to which the child is exposed' ""The child's religion""]",1,2.5436656465355214e-13,3.160881453268127e-10,0.9999999996737348,9.545034919683293e-12,3.701011677368441e-13,,,,5.98212822178835e-15,,,1.253922194684786e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What power was granted to the states by the Articles of Confederation but not by the Constitution?,high_school_government_and_politics,"['Coining money' 'Authorizing constitutional amendments'
 'Having representation in Congress'
 'Appealing to the president to adjudicate disputes']",0,7.052879849389896e-11,1.5737102103020013e-11,1.493094675832561e-10,0.9999999997601977,1.5428112028151442e-13,,,,,,,,3.9789625348656055e-12,5.675685231246761e-14,3.664497806023021e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The primary function of political action committees (PACs) is to,high_school_government_and_politics,"['contribute money to candidates for election'
 'coordinate local get-out-the-vote campaigns'
 'promote the defeat of incumbents in the federal and state legislatures'
 'organize protest demonstrations and other acts of civil disobedience']",0,2.5436656473484475e-13,1.2917800047715352e-12,5.109089028006131e-12,0.9999999999897512,4.752193062717954e-13,,,,,,,,3.0988191386871357e-12,1.117608687076904e-14,8.176599825119997e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal judges are subject to which of the following disciplinary actions?,high_school_government_and_politics,"['Impeachment, conviction, and removal from office by Congress'
 'Removal from office by the appointing president'
 'Removal from office by the president-elect'
 'Recall elections by citizens residing in the district over which the judge has jurisdiction']",0,1.1779508898252998e-15,1.824446028464462e-15,3.2020024986292756e-15,0.9999999999975033,6.101936677589905e-13,,,,,,,,1.879528816534334e-12,,7.144633303148228e-16,3.5925472378457593e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,high_school_government_and_politics,"['vice president' ""president's chief of staff"" 'national security advisor'
 'chair of the Federal Reserve Board']",1,6.914400106049271e-13,3.978962535324544e-12,0.9999999998786416,1.1628233028722654e-10,3.7010116781157907e-13,,,,3.442477108026408e-14,9.765555873283232e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following defines the salience of a political issue?,high_school_government_and_politics,"['The amount of coverage the issue receives in the major news media'
 'The degree to which public opinion on the issue is likely to shift quickly'
 'The number of people affected by the issue'
 'The importance of the issue to a particular individual or group']",3,0.9997956288042718,2.10200521175738e-07,7.336719087405459e-07,0.000203426894138438,1.6915529813551416e-10,2.4611950652435536e-10,,1.388511241467887e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voters who rely exclusively on television network news coverage of national elections are most likely to be aware of,high_school_government_and_politics,"['which special interest groups have endorsed which candidates'
 ""the relative strength of each candidate's support, as indicated by public opinion polls""
 ""candidates' positions on international issues""
 ""candidates' positions on domestic issues""]",1,4.0063695867943765e-05,1.2751396184569514e-07,0.9999597835465689,2.5108987838959558e-08,1.1627768216349626e-10,1.388738872396056e-11,,,1.8794536863741435e-12,,,,,,,,2.5689086072151364e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which principle was established by the Supreme Court's decision in Marbury v. Madison?,high_school_government_and_politics,"['One man, one vote' 'Separate but equal' 'Judicial review'
 'Right to privacy']",2,1.713908431541575e-15,0.9999999999997519,4.111452592546983e-15,3.592547237853919e-16,1.2015425731768717e-13,,,,,,,,,,,,,1.2015425731768717e-13,1.0395380116699563e-15,1.241551103598267e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
