question,subject,choices,answer,a,а,<|end|>,b,an,ai,d,c,с,e,б,​,​​,д,,constant,...,co,i,bb,‌,**,many,much,the,to,units,labor,this,any,we,aa,­d,p,­a,sub,com,bi,none,n,not,no,ɑ,air,parallel,à,op,opportunity,t,﻿,ci,reg,cc,bd,s,ch,factors,f,solution,ap,option,horizontal,h,ind,{',20
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.9999999999802338,1.7832472907774494e-11,1.463778514095382e-12,3.701011678515488e-13,4.4202281035489896e-14,2.6810038677258914e-14,1.6261110445839067e-14,1.2664165548830066e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,6.34779718115408e-09,,3.331018250237776e-11,9.235990400316806e-09,,,0.00015843629260744923,0.9998415464368544,1.6049744735335067e-09,4.8466029560325074e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,7.433680670405648e-12,,4.277787867848842e-11,0.999999999930233,,,5.789356327214685e-12,6.914400105129639e-13,,,8.423463752262928e-12,3.5114221124570314e-12,1.1399918527458437e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,9.357622968745936e-14,,1.6586783588975269e-12,2.88235079341536e-13,,,0.9999999999967246,1.1399918530328746e-12,,,,3.037975385412533e-14,7.68120468512474e-15,5.675685232575564e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,,,1.0261879624277505e-10,2.020683907560269e-11,,,0.9999999996599427,1.6918979213910564e-10,,,,2.5946094963992882e-11,5.109089024366942e-12,1.3887943854916208e-11,3.0988191364798555e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,8.592166601734154e-10,,1.317651424335043e-10,2.4616969468187536e-10,,,0.9999999981489597,5.905303986957746e-10,,5.109089017693148e-12,,7.43368065726367e-12,,1.0815941535332029e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,5.211412472862401e-10,,1.4930946718921036e-10,3.1608814451998797e-10,,,0.9999999978555385,1.1032560291625206e-09,,2.940077730807306e-11,,1.7832472856729773e-11,,7.433680650918554e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,1.291780004549842e-12,,1.463778513858311e-12,6.224144621769927e-11,,,5.7893563276722815e-12,0.9999999998858674,4.277787868186962e-11,1.9810087976868253e-13,,3.701011677916079e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,1.573710210470574e-11,,1.2256067442419485e-11,1.3887943863060334e-11,,,0.9999999999351039,1.7832472905702005e-11,,,,3.5114221128951843e-12,7.835041783990403e-13,8.878265477242672e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,2.7346982914579585e-12,,1.2917800047227386e-12,0.9999999999943471,,,1.7482341281854472e-13,1.2917800047227386e-12,,,5.00877463759823e-14,1.6261110445381893e-14,,,,9.357622968381939e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
