question,subject,choices,answer,a,а,d,b,<|end|>,c,an,aa,ai,bc,с,cf,​,​​,б,law,д,p,st,s,solution,ci,­a,﻿,none,n,positive,bb,...,t,cod,ɑ,anal,command,v,e,legal,ap,historical,austin,greek,interpret,h,gro,4,ab,m,ul,jeremy,,r,make,critical
Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'?,jurisprudence,"['It demonstrates the difference between the internal and the external aspect of a rule.'
 ""It refutes the natural lawyer' view of the role of morality in law.""
 'It explains the nature of power-conferring rules.'
 'It illuminates the concept of a rule.']",3,0.9999999998233424,1.026187962937492e-10,7.052879849512859e-11,1.879528816112884e-12,1.006039279055189e-12,3.7010116777534357e-13,2.543665646800125e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,jurisprudence,"['It is misinterpreted as a prediction.'
 'His concept of status is misrepresented.' 'It is taken literally.'
 'His idea is considered inapplicable to Western legal systems.']",0,0.9999999996469895,2.7894680913145e-10,,6.224144619439392e-11,8.423463749774691e-12,7.83504178069833e-13,1.1399918524090974e-12,7.83504178069833e-13,6.914400103087169e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following factors contributed significantly to the revival of natural law in the 20th century?,jurisprudence,"['Depression of the 1930' 'The rise of Fascism'
 'The international recognition of human rights after World War II'
 'The Bolshevik Revolution']",2,1.5226007606872315e-08,,6.823823187660388e-08,0.00026119041834029227,1.4162393202709053e-09,0.9997386233266473,,,,9.928604152918473e-08,1.330433717532566e-09,7.580582816929684e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling?,jurisprudence,"['There is no distinction between the two forms of legal reasoning.'
 'Judges are appointed to interpret the law, not to make it.'
 'It is misleading to pigeon-hole judges in this way.'
 'Judicial reasoning is always formal.']",2,1.0815941539738635e-11,,7.052879839670041e-11,2.2897348419308406e-11,1.2256067424216061e-11,0.9999999986267765,,,,,1.2501528643585784e-09,,5.109089019774681e-12,1.4637785117511727e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'?,jurisprudence,"['The POP will choose wealth over a compassionate society.'
 'The POP will choose equality over power.' 'The POP will be unselfish.'
 'The POP will choose to protect the disabled.']",0,1.388794381141542e-11,,5.4927883297758005e-11,0.9999999997886757,4.847368687579957e-11,7.052879823917936e-11,,,,,,,1.388794381141542e-11,4.508755224910139e-12,5.109089008363895e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ________ School believes that promoting market efficiency should be the central goal of legal decision-making.,jurisprudence,['Law and Economics' 'Critical Legal Studies' 'Historical' 'Natural Law'],0,0.9999999999682587,2.940077739085473e-11,,5.384940217389555e-13,5.384940217389555e-13,,1.201542573095852e-13,6.43139394101669e-14,,,,,,,,1.0789165201684871e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which statement below is the least likely to follow logically from Austin's argument that a sanction consists of the smallest chance of incurring the smallest evil?,jurisprudence,"['All commands include some sanction.'
 'The concept of a command contains the likelihood that a sanction will follow failure to obey the command.'
 'Without a sanction the mere expression of a wish is not a command.'
 ""A command confers power to change one's legal status.""]",3,9.056076955012314e-11,,0.9999999992074483,9.056076955012314e-11,3.160881442215971e-10,2.4616969423936697e-10,,,,,,,3.331544529415507e-11,7.433680643901074e-12,,,8.42346372222931e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does Weber solve the 'England problem'?,jurisprudence,"['By denying its existence.'
 'By explaining the difference between the common law and civil law.'
 'By distinguishing certain features of the English legal system that facilitated the development of capitalism.'
 'By recognizing the importance of legitimate domination.']",2,3.266131341126216e-13,,1.493094675437741e-10,4.2777878667932146e-11,1.8795288155831104e-12,0.999999999525746,,,,,2.789468091450135e-10,,5.384940215015128e-13,4.752193060354075e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cicero's conception of natural law is 'based on the idea that 'true law is right reason in agreement with Nature.' Reason is a key element because:,jurisprudence,"['It is a sin for humans not to apply reason.'
 'The principles of natural law are discoverable by reason.'
 'Natural law does not apply without good reason.'
 'The law of nature is the basis of all positive law.']",1,3.160881448516541e-10,,1.1628233008894442e-10,0.999999999425659,4.847368697380036e-11,6.224144611492514e-11,,,,,,,5.789356318112798e-12,,2.2897348414461105e-11,,,2.569011293263459e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Catharine MacKinnon argues that since men dominate women, the question is ultimately one of power. Which proposition below is the most inconsistent with this argument?",jurisprudence,"['Women can achieve equality through political pressure.'
 'Equality is impossible because men define women as different.'
 ""The idea of 'woman' needs to be redefined.""
 'The world is phallocentric and oppressive.']",0,0.9999999981760889,6.691586067723668e-10,5.109089010068084e-12,1.103256028457664e-09,2.940077728928927e-11,1.3887943816047886e-11,,3.0988191278071604e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
