question,subject,choices,answer,a,а,b,<|end|>,​,ai,aa,c,с,d,...,­a,д,​​,,bd,bb,e,б,i,an,‌,cc,s,in,**,',the,t,ɑ,ii,iii,2,77,1,iv,{',dis,solution,36,ac,acd,acf,ace,true,abc,aac,unit,ad,ab,​​​​,unknown,not,pending,need,none,no,ne,n
Which one of the following is the most appropriate definition of a 99% confidence interval?,econometrics,"['99% of the time in repeated samples, the interval would contain the true value of the parameter'
 '99% of the time in repeated samples, the interval would contain the estimated value of the parameter'
 '99% of the time in repeated samples, the null hypothesis will be rejected'
 '99% of the time in repeated samples, the null hypothesis will not be rejected when it was false']",0,0.9999999999241473,6.224144622084827e-11,7.433680671369309e-12,5.789356327965184e-12,1.7482341280399057e-13,1.201542573018311e-13,9.357622967602911e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,"['ADF is a single equation approach to unit root testing while PP is a systems approach'
 'PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test'
 'The PP test incorporates an automatic correction for autocorrelated residuals in the test regression'
 'PP tests have good power in small samples whereas DF tests do not.']",2,3.900837610097139e-14,,4.752193062669336e-13,7.835041784896523e-13,5.675685232511121e-14,,,0.9999999999838456,1.388794386466647e-11,8.878265478269441e-13,2.3659776090840703e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",econometrics,"['It would rise more quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be symmetrical about zero'
 'It would rise less quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be zero for all positive disturbances']",0,0.9999999998403504,1.4930946758700478e-10,6.56020016671653e-12,1.0060392790629076e-12,,,,2.41336277130448e-12,,2.543665646819641e-13,,1.060357598920075e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false concerning the linear probability model?,econometrics,"['There is nothing in the model to ensure that the estimated probabilities lie between zero and one'
 'Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one'
 'The error terms will be heteroscedastic and not normally distributed'
 'The model is much harder to estimate than a standard regression model with a continuous dependent variable']",3,3.511422112530129e-12,,2.59460949765107e-11,6.224144621407534e-11,2.1297851704424283e-12,,,2.0206839085351576e-11,,0.9999999998849581,,,1.0060392790408244e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements concerning the regression population and sample is FALSE?,econometrics,"['The population is the total collection of all items of interest'
 'The population can be infinite'
 'In theory, the sample could be larger than the population'
 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2,,,1.879528815984094e-12,8.423463751981357e-12,1.1399918527077373e-12,,,0.9999999997406628,2.461696951088492e-10,1.4637785136936828e-12,,,,1.5428112027363247e-13,1.060357598839281e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,econometrics,"['Asymptotically, the values of the two test statistics will be equal'
 'The Q test has better small-sample properties than the Q*'
 'The Q test is sometimes over-sized for small samples'
 'As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.']",1,1.4443576229033573e-07,,0.9995690180099047,4.642879970940043e-09,,,,2.698415290075611e-07,,0.0004305569392138371,,,,,,3.6158785570746467e-09,1.7080200891355053e-09,8.068115615173393e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A parsimonious model is one that,econometrics,"['Includes too many variables'
 'Includes as few variables as possible to explain the data'
 'Is a well-specified model' 'Is a mis-specified model']",0,3.9789625351543885e-12,,0.9999999999659391,1.7832472905086063e-11,3.9789625351543885e-12,,,7.835041783719776e-13,,1.0060392791106652e-12,,,,6.914400105753586e-13,,,,,5.789356327737109e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,econometrics,"['They can be interpreted as continuously compounded changes in the prices'
 'They can be added over time to give returns for longer time periods'
 'They can be added across a portfolio of assets to give portfolio returns'
 'They are usually fat-tailed']",2,1.0060392755103682e-12,,7.052879824661748e-11,2.020683901444047e-11,8.878265445163503e-13,,,0.9999999962914393,2.1724399269317164e-10,3.3982678067505484e-09,,,,,,,,4.1937956426515544e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iii) only'
 '(i), (ii), (iii), and (iv)']",1,2.734698289454548e-12,,0.9999999999033373,1.783247289420927e-11,5.789356324205932e-12,,,5.4927883466617486e-11,,1.225606743452065e-11,,,,1.6586783576178773e-12,,,,,,1.4637785129818806e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",econometrics,['Less than -1' 'Between -1 and 0' 'Between 0 and 1' 'Bigger than 1'],2,3.2020024985831233e-15,,5.7893563286325776e-12,3.701011678529975e-13,8.703945206578963e-15,,,0.9999999999868976,5.7893563286325776e-12,1.1399918530250435e-12,,,,1.7139084315129786e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
