question,subject,choices,answer,b,c,d,a,bc,bcd,e,bd,ab,f,ad,g,2,1,cd,abcd,dd,dc,db,ac,da,3,abc,4,band,i,ba,cb,'},bs,choice,bb,h,cc,option,ca,none,iii,ii,mr,abd,aa,k,all,reg
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.9669738657261748,0.0257687024103725,0.0044779290354514,0.002115223901895,0.0004719702479796,2.3498026208489336e-05,1.3388771748674316e-05,1.3388771748674316e-05,1.1099681636322124e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,0.1850088340090139,0.0771231562033634,0.3456420062265893,0.3916636813255987,,,0.0003571510688513,8.941097794779973e-06,6.541446886601381e-06,2.014907491641197e-05,1.5692115323066046e-05,3.5013842051033565e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,0.9974444210999096,0.0011678791577625,0.0008026708240536,0.0004868444644453,7.3923462472731e-06,,4.772857461396634e-06,,,,,,8.916871657654481e-06,4.483684646182763e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,0.004289609638197,0.0522581435111113,0.9262976471113656,0.016965735230449,,,6.933504911080697e-05,,,,1.063287415757929e-05,,,,1.2048624903315208e-05,4.718309305856439e-06,4.718309305856439e-06,4.432441396315922e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,0.0146780699716138,0.0188470104179952,0.9080998775523031,0.0580528790412427,,,6.797291679163808e-05,1.3384660913956744e-05,,,3.638328054249466e-05,,,,,1.0423984400934738e-05,,,9.199133946415043e-06,8.118207214172083e-06,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,0.0035907675897308,0.0265323768329307,0.285249967193229,0.6842790785116563,,,0.0001084317339832,,,1.2950323843926162e-05,9.569066938208963e-05,5.3984981530698044e-06,,,,,,,,8.900618734801543e-06,1.0085722350677982e-05,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,0.0459409427972851,0.4939116817943922,0.299572578198529,0.160354061611571,3.6605448351379296e-06,,6.906941396377922e-05,,,,4.70023260724214e-06,,,,1.0592137688414e-05,,,,,4.415459909505107e-06,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,0.000487168415193,0.9981061909129868,0.000552034136059,0.0008059262290257,,,1.6505521776530389e-06,,,,,,,,,,,,,1.2075697695628771e-06,,6.528060497801403e-06,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,0.046767076505044,0.0873724016214721,0.0364222358040886,0.8289661795048354,2.144377222419262e-05,,0.0001023025156965,,2.586612671851456e-05,,3.763499230486516e-05,,,,,,,,,9.028165322878289e-05,,,1.2218293110786978e-05,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.1315965885835348,0.2169660947492475,0.4053460052546328,0.2458547946330603,,,5.002367407743565e-05,,3.40415374243826e-06,4.953014469288088e-06,1.1161790408111075e-05,,,,3.857411547245562e-06,,,,,4.953014469288088e-06,,,,,,,,,,,,,,,,,,,,,,,,,
