question,subject,choices,answer,a,b,c,d,choice,1,option,e,ab,ac,abc,ad,ba,abcd,4,richard,r,both,db,а,2,f,band,',3,с,bc,all,bcd,cd,bs,none,sol,s,bd,g,n,dc,i,br,8,not,an,super,real,thomas
What is the structure of the United Nations Security Council?,us_foreign_policy,"['5 permanent members with veto power, 10 rotating members with no veto power'
 '5 permanent members and 10 rotating members, all with veto power'
 '10 permanent members with veto power, and 5 rotating members without veto power'
 '15 permanent members with veto power']",0,0.9994619433816976,0.0003799212910995672,6.60204209551563e-05,3.118583865709783e-05,1.3000191687965903e-05,6.5369069003846056e-06,3.0878161781236278e-06,2.724988212944705e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"['It allowed the US to intensify its involvement in Vietnam'
 'It illustrated the influence of public opinion on US foreign policy'
 'It enhanced Congressional control over the Vietnam War'
 'It curtailed US involvement in Vietnam']",0,0.8716019207236179,0.015963944607412964,0.0024481501959840897,0.0010205408351742639,,,,,0.10409799523190925,0.0014848781534458429,0.001156424268669244,0.0004820693562427031,0.0004820693562427031,0.0003754359921365452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,['Terrorists' 'Organized crime' 'Drug traffickers' 'China'],3,0.0002982311833723761,0.00015817490869399849,0.001325383497848541,0.9981978889524906,,,,5.084524108402014e-06,,,,,,,5.761520628016726e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who was the first American president to visit communist China?,us_foreign_policy,['Richard Nixon' 'George H. W. Bush' 'Jimmy Carter' 'Ronald Reagan'],0,0.9999212738799581,4.539607651553189e-05,1.670028325990991e-05,1.1477925637308427e-05,,5.71452268425933e-07,,2.873442458676856e-07,,,,,,,,5.368297257337143e-07,8.101812143889091e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"['on nuclear weapons signed between the United States and the Soviet Union.'
 'cutting conventional arms in Europe.'
 'to be rejected by the U.S. Senate.'
 'mandating the elimination of many long-range nuclear missiles.']",3,2.2091718330223946e-05,1.4738341800086522e-05,1.0129504306356304e-05,0.9999443248213513,,2.2378989944805306e-07,,1.8737698869568565e-06,,,,,,,2.561139774521567e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"['It ended the influence of American exceptionalism entirely'
 ""Exceptionalism was enhanced by America's status as the 'leader of the free world'""
 'The extension of American power globally challenged core assumptions of exceptionalism'
 'Both b and c']",3,8.457381805707694e-05,0.0021811885558583595,0.0005514908328371663,0.9971215867047137,,,,2.2538159095102627e-06,,,,,,,1.3670084504660885e-06,,,2.8325851712048532e-05,1.86847901600225e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"['He believed that internal reform rather than international negotiation was the key to economic regeneration of the US'
 'He believed that German domination of Europe would be in US interests'
 'He always favoured isolationism' 'All of the above']",0,0.9995187290591865,0.00037993723356586457,1.3000737209163845e-05,6.60231913403931e-05,,4.492934556170409e-06,2.9008565755283793e-06,9.417702446979814e-07,2.122312007989197e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the 'New Populism'?,us_foreign_policy,"['A strand of neo-isolationist sentiment'
 'A strand of internationalist sentiment'
 'An expression of American cultural superiority'
 'Increased incorporation of public opinion in foreign policy making']",0,0.9999262768573953,5.829010519097913e-05,6.1437318867587035e-06,4.222521057535488e-06,,7.810878563609856e-07,2.6993674010852877e-07,,,,,,,,,,,,,9.421717997980107e-07,1.2750908738321293e-07,,,,,,,,,,,,,,,,,,,,,,,,,
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"['The war reduced European population levels below that of the United States'
 'The United States seized German resources after the war'
 'European countries paid the United States for assistance'
 'The United States became a creditor country and financial centre, with European war spending boosting the US economy']",3,2.8736311900744833e-05,2.143794465936347e-05,0.00026116763134259076,0.999653969030308,,,,9.513030276259593e-06,,,,,,,6.959881628754107e-06,,,,,,,6.473698346652439e-07,,,,,,,,,,,,,,,,,,,,,,,,
"In American government, the power to declare war rests with",us_foreign_policy,"['the president of the United States.' 'the secretary of defense.'
 'the chairman of the Joint Chiefs of Staff.' 'Congress.']",3,5.190924425242943e-05,4.005803829406893e-05,7.50620304751753e-05,0.999819502074946,,,,1.3707106936796993e-06,,,,,,,7.887895425878868e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
