question,subject,choices,answer,b,c,d,a,bc,bcd,e,bd,2,f,ad,ab,g,1,cd,dd,abcd,ac,da,3,abc,dc,4,band,i,ba,db,cb,none,'},bs,r,choice,s,p,cc,v,ca,option,iii,iv,ii,mr,cost,abd,an,aa,k,all,reg,h
Marginal revenue equals marginal cost at the point where,high_school_microeconomics,"['total revenue is greater than total cost at its greatest distance'
 'total revenue is equal to total cost'
 'marginal product is at its highest point'
 'total product is at its highest point']",0,0.9538338077187044,0.0369836411078025,0.0056716237036711,0.0026790853373473,0.0005977847403736,2.6264840982931163e-05,1.695785587749241e-05,1.3206791436603116e-05,1.0948814658679545e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",high_school_microeconomics,"['Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.'
 'Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.'
 'Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.']",2,0.2025285859809217,0.0844264753946394,0.3339131876315654,0.3783732345761229,,,0.0005020181733373,8.637699803319245e-06,,2.832192730043251e-05,1.9465356988284607e-05,7.622743321884803e-06,5.239029760106905e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At a Nash equilibrium,",high_school_microeconomics,"['the supply curve intersects the demand curve'
 'neither party has an incentive to deviate from his or her strategy'
 'the marginal revenue curve intersects the marginal cost curve'
 'the equilibrium is unstable and each party would like to switch strategies']",1,0.9965274656151386,0.0016976910509105,0.0010297016730969,0.0006245456350907,8.908660777797037e-06,,6.938071989865844e-06,,1.0745896112009029e-05,,,,,5.4033758987132986e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are told that the cross-price elasticity between goods X and Y is +2.0. This means that,high_school_microeconomics,"['goods X and Y are normal goods.' 'goods X and Y are inferior goods.'
 'goods X and Y are complementary goods.'
 'goods X and Y are substitute goods.']",3,0.0042597645368003,0.0588042355634382,0.919853030710268,0.0168476955646216,,,0.0001001801075524,,,5.651774923185118e-06,1.0558905652557408e-05,,,,1.3557903230291573e-05,4.987673863816156e-06,4.987673863816156e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An externality,high_school_microeconomics,"['causes the equilibrium price to be artificially high'
 'causes the equilibrium price to be artificially low'
 'exists when markets cannot reach equilibrium'
 'results in an equilibrium that does not maximize the total benefit to society']",3,0.0230847718609966,0.0296414338079577,0.8662496216539456,0.0805737708896431,,,0.0001211377361999,1.446783940347619e-05,,1.058489742467324e-05,5.049772137161205e-05,,,,,,1.3591277326313058e-05,1.3591277326313058e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is one reason why the government discourages collusion between large firms in the same industry?,high_school_microeconomics,"['Collusive output levels tend to increase, driving the price above competitive levels.'
 'Consumer surplus falls as the price is driven downward.'
 'Collusive output levels tend to decrease, driving the price down to competitive levels.'
 'Joint profit maximization costs society consumer surplus as the price rises above competitive levels.']",3,0.0026372267646254,0.0283528597211614,0.2373956162402987,0.7312299770026471,,,0.0001158716573072,,,1.5681523560768478e-05,0.0001022563786709,,6.95863389806409e-06,,,,,1.2212782828879176e-05,8.393714702491138e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,high_school_microeconomics,"['Perfectly horizontal demand curve.' 'Highly inelastic demand curve.'
 'Highly elastic demand curve.'
 'A demand curve consisting of two discontinuous segments.']",3,0.0332835314165923,0.459465006000891,0.3578316851389705,0.1491710933941243,,,8.250160627610322e-05,,,4.654422128958352e-06,5.274151235349161e-06,,,,8.168765232887423e-06,,,4.654422128958352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not the basis for a wage differential?,high_school_microeconomics,"['Higher risk job.' 'Investment in human capital.'
 'Increase in production of SUVs.' 'Racial discrimination.']",2,0.0004883679298151,0.9979336725470602,0.0007087011525768,0.0008065572206185,,,2.4011178721570088e-06,,,,,,,,,,,,,6.94786493635185e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents, control of resources, economies of scale, and exclusive licenses are",high_school_microeconomics,"['all requirements for price discrimination'
 'required in order for a firm to earn short-run profits'
 'all sources of elastic demand' 'all barriers to entry']",3,0.036958457839193,0.0886587314135649,0.0326157245673912,0.8411705731008903,2.044113562853002e-05,,0.0001332929480477,,,,4.903573523991127e-05,2.9741676844557407e-05,,,,,,0.0001332929480477,,,1.4955054299250595e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n)",high_school_microeconomics,"['increasing-cost industry' 'constant-cost industry'
 'decreasing-cost industry' 'profit-making industry']",1,0.1445591469042004,0.2700720418136232,0.3467793660254468,0.2383377403752198,3.5129065983692952e-06,,4.849417974591354e-05,,,4.8015740224509314e-06,9.549070171421131e-06,,,,3.5129065983692952e-06,,,4.8015740224509314e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
