question,subject,choices,answer,a,b,c,d,e,ad,ab,ac,aa,ba,bc,bcd,bd,r,abc,cd,db,2,abcd,f,i,ii,iv,iii,4,k,1,'},0,z,zero,dc,v,dv,da,h,g,3,bb,t,dt,36,12,cb,all,n,no
Which one of the following is the most appropriate definition of a 99% confidence interval?,econometrics,"['99% of the time in repeated samples, the interval would contain the true value of the parameter'
 '99% of the time in repeated samples, the interval would contain the estimated value of the parameter'
 '99% of the time in repeated samples, the null hypothesis will be rejected'
 '99% of the time in repeated samples, the null hypothesis will not be rejected when it was false']",0,0.9659920155732876,0.01561380561077703,0.01073120119741338,0.007375439531531059,8.193377129285134e-05,3.6357890616001186e-05,3.0141749996282914e-05,2.498838841983251e-05,1.0416710065202432e-05,5.575663109968397e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,"['ADF is a single equation approach to unit root testing while PP is a systems approach'
 'PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test'
 'The PP test incorporates an automatic correction for autocorrelated residuals in the test regression'
 'PP tests have good power in small samples whereas DF tests do not.']",2,0.13186169223336605,0.4061626061440581,0.35843724186781817,0.10269398916846607,2.6829677057012275e-05,,2.3677106900158315e-05,3.444998726272773e-05,,,0.00032685237871467657,5.012443570097523e-05,2.6829677057012275e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",econometrics,"['It would rise more quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be symmetrical about zero'
 'It would rise less quickly for negative disturbances than for positive ones of the same magnitude'
 'It would be zero for all positive disturbances']",0,0.159822326799938,0.011580150273149365,0.8115998515541689,0.016844032637947787,2.099432585383861e-05,,,7.2554448716743185e-06,,,,,,2.841273035790989e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is false concerning the linear probability model?,econometrics,"['There is nothing in the model to ensure that the estimated probabilities lie between zero and one'
 'Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one'
 'The error terms will be heteroscedastic and not normally distributed'
 'The model is much harder to estimate than a standard regression model with a continuous dependent variable']",3,0.15377891095012303,0.03431271302775208,0.7809537837972791,0.030280862966265306,5.845583109872585e-05,,2.7612579423716133e-05,0.0002311972968975474,,,5.845583109872585e-05,,,,5.845583109872585e-05,2.1504698477811484e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements concerning the regression population and sample is FALSE?,econometrics,"['The population is the total collection of all items of interest'
 'The population can be infinite'
 'In theory, the sample could be larger than the population'
 'A random sample is one where each individual item from the population is equally likely to be drawn.']",2,0.005686482876431337,0.01541548655933331,0.9532851401838676,0.02540418612411186,2.6250091792318688e-05,,,6.63706259860735e-06,,,1.804140665613953e-05,,,,,1.4956851450873361e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,econometrics,"['Asymptotically, the values of the two test statistics will be equal'
 'The Q test has better small-sample properties than the Q*'
 'The Q test is sometimes over-sized for small samples'
 'As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.']",1,0.050882064673738236,0.10771733175959103,0.04490326447168305,0.7959294071987423,7.649809025011765e-05,5.257631727689007e-05,1.6034870811737033e-05,,,,,,0.00012612402856330708,,,3.613513918271911e-05,3.613513918271911e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A parsimonious model is one that,econometrics,"['Includes too many variables'
 'Includes as few variables as possible to explain the data'
 'Is a well-specified model' 'Is a mis-specified model']",0,0.001178723705748405,0.9969607504801009,0.001322701639357717,0.0004294183507964169,8.372320980368534e-06,,6.12532087979549e-06,,,,,,,,,,,8.912289291884046e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,econometrics,"['They can be interpreted as continuously compounded changes in the prices'
 'They can be added over time to give returns for longer time periods'
 'They can be added across a portfolio of assets to give portfolio returns'
 'They are usually fat-tailed']",2,0.0490234710446713,0.026235947632188904,0.055541501573193174,0.8688152892972321,8.350325039323543e-05,3.480933360864432e-05,,,,,,,3.071912909066247e-05,,,3.071912909066247e-05,,,7.76701218275693e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",econometrics,"['(ii) and (iv) only' '(i) and (iii) only' '(i), (ii), and (iii) only'
 '(i), (ii), (iii), and (iv)']",1,0.09692126372978048,0.4922291076434631,0.20521483038014532,0.2051823169260667,,,,,,,2.532150349677928e-05,6.074312914452529e-05,0.0001285932054080659,,,1.972040675183702e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",econometrics,['Less than -1' 'Between -1 and 0' 'Between 0 and 1' 'Bigger than 1'],2,0.3253485252364348,0.2236085532654557,0.25338168622526214,0.19733385564818717,8.500010658909835e-05,,5.104653172274077e-06,,,,8.416150264675157e-06,5.433875016583229e-06,5.433875016583229e-06,,,,,,,7.427226540262349e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
