question,subject,choices,answer,a,c,d,b,e,ad,ac,f,ab,cd,bd,bc,bcd,3,dc,abc,cb,da,2,1,ba,s,4,sol,cc,choice,option,dd,bs,db,cod,abcd,analy,an,command,g,h,r,void,v,interpret,ain,en,make,san
Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'?,jurisprudence,"['It demonstrates the difference between the internal and the external aspect of a rule.'
 ""It refutes the natural lawyer' view of the role of morality in law.""
 'It explains the nature of power-conferring rules.'
 'It illuminates the concept of a rule.']",3,0.9174493243658792,0.035573367067444,0.0313933862515241,0.0148291891780534,0.0003077700025943,0.0001282976248779,6.060350678844922e-05,2.5263300239433137e-05,2.5263300239433137e-05,1.631121257229542e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,jurisprudence,"['It is misinterpreted as a prediction.'
 'His concept of status is misrepresented.' 'It is taken literally.'
 'His idea is considered inapplicable to Western legal systems.']",0,0.1598420261172063,0.075504026860124,0.2052412241893587,0.5579035234182632,0.0001286301241539,0.0001001772414176,,,0.0001457570262027,,0.0003496530958075,0.0001286301241539,7.801811406198377e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following factors contributed significantly to the revival of natural law in the 20th century?,jurisprudence,"['Depression of the 1930' 'The rise of Fascism'
 'The international recognition of human rights after World War II'
 'The Bolshevik Revolution']",2,0.0093844951516358,0.9572444688257788,0.0198669763919147,0.0120499302974833,,,0.0001181333598422,,,0.0004672265017123,,0.0001516862365961,0.0001109760213898,8.642821236054922e-05,5.24213606608275e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling?,jurisprudence,"['There is no distinction between the two forms of legal reasoning.'
 'Judges are appointed to interpret the law, not to make it.'
 'It is misleading to pigeon-hole judges in this way.'
 'Judicial reasoning is always formal.']",2,0.0837803888545014,0.7014845864883108,0.0575813630326375,0.156522372789522,3.184735949816137e-05,,3.608778614960465e-05,,,2.640238836113492e-05,,0.0001832689001918,,,,2.1888348740888145e-05,1.814607845508357e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'?,jurisprudence,"['The POP will choose wealth over a compassionate society.'
 'The POP will choose equality over power.' 'The POP will be unselfish.'
 'The POP will choose to protect the disabled.']",0,0.0732465576675227,0.4215048367617344,0.3282682969384234,0.1757093575567566,7.109994274076294e-05,,,,,0.0001602261943351,9.718209935335922e-05,0.0001815600642516,0.0001247842856167,,4.590557325968109e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ________ School believes that promoting market efficiency should be the central goal of legal decision-making.,jurisprudence,['Law and Economics' 'Critical Legal Studies' 'Historical' 'Natural Law'],0,0.954094598360962,0.022438034628393,0.0034409832361081,0.0198014960596427,4.908298975679168e-05,7.07107510400256e-06,9.665013737040148e-06,5.173309059543774e-06,7.527120266802752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which statement below is the least likely to follow logically from Austin's argument that a sanction consists of the smallest chance of incurring the smallest evil?,jurisprudence,"['All commands include some sanction.'
 'The concept of a command contains the likelihood that a sanction will follow failure to obey the command.'
 'Without a sanction the mere expression of a wish is not a command.'
 ""A command confers power to change one's legal status.""]",3,0.2994843472517448,0.0245831693014963,0.493766213555695,0.1816464387122081,0.0001876948138151,3.695930021547274e-05,,8.778603260374029e-06,2.241694874220796e-05,,1.85843032480479e-05,,,,,,,8.778603260374029e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does Weber solve the 'England problem'?,jurisprudence,"['By denying its existence.'
 'By explaining the difference between the common law and civil law.'
 'By distinguishing certain features of the English legal system that facilitated the development of capitalism.'
 'By recognizing the importance of legitimate domination.']",2,0.1058493742237162,0.7821010680377758,0.0183932522332598,0.093408642297042,1.785420669920497e-05,,2.153628419999576e-05,,4.805394542547152e-06,,,4.023507589475351e-05,,,,1.785420669920497e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cicero's conception of natural law is 'based on the idea that 'true law is right reason in agreement with Nature.' Reason is a key element because:,jurisprudence,"['It is a sin for humans not to apply reason.'
 'The principles of natural law are discoverable by reason.'
 'Natural law does not apply without good reason.'
 'The law of nature is the basis of all positive law.']",1,0.0001789458153495,0.0003343147961261,0.0027991848514837,0.9965856944066446,5.752203808775861e-06,,,,,,5.07630204428001e-06,,,3.953428007192245e-06,,,,,1.886075017643209e-05,5.07630204428001e-06,,,,,,,,,,,,,,,,,,,,,,,,,
"Catharine MacKinnon argues that since men dominate women, the question is ultimately one of power. Which proposition below is the most inconsistent with this argument?",jurisprudence,"['Women can achieve equality through political pressure.'
 'Equality is impossible because men define women as different.'
 ""The idea of 'woman' needs to be redefined.""
 'The world is phallocentric and oppressive.']",0,0.5648465344048611,0.0674612901771293,0.0248176217310668,0.3425967411489751,3.731178518697784e-05,1.0042330747642734e-05,2.263074168451373e-05,,1.555386613085423e-05,,,4.227979166578566e-05,,,,,,,,,1.211336312249708e-05,,,,,,,,,,,,,,,,,,,,,,,,
Who was an exponent of ânatural law with a variable contentâ?,jurisprudence,['John Rawls' 'Stammler' 'Jerome Hall' 'John Finns'],1,0.00531939683445,0.2904629313592652,0.0068302407368822,0.6967492452055093,,,,,,,,0.0001937591079227,3.815343052713863e-05,1.2386605358820935e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
