question,subject,choices,answer,a,b,c,d,0,1,option,e,none,f,not,less,ii,i,the,s,2,g,h,4,down,m,5,ab,both,',p,3,8,6,v,n,l,t,cd,bc,abc,dc,sol,(,-,sqrt,square,virtual,one,no,yes,ac,half,any,all,zero,?',par,up,x,false,static,gr,per,parallel,double,9,true
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?",high_school_physics,['0.005 C' '0.01 C' '0.02 C' '0.5 C'],1,0.9026695175844202,0.0951434181100255,0.0009326692630979,0.0008230777358197,0.000388794392707,3.5806725662401517e-06,2.968481820082824e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,high_school_physics,"['the electric field produced by a finite-length charged rod'
 'the electric field produced by an infinitely long charged cylinder'
 'the electric field produced by an infinite plane of charge'
 'the magnetic field produced by an infinitely long, straight current-carrying wire']",0,0.3088412177518009,0.2122895405556837,0.1287891909870298,0.3499507764003088,,,,1.401851225645572e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the",high_school_physics,"['electric field outside the object is zero'
 'the electric field outside the object is equal to the electric field inside the object'
 'the electric field outside the object is directly proportional to the distance away from the center of mass of the object'
 'the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space']",3,0.0549895366663218,0.0294337779496128,0.0549895366663218,0.8602252417037329,,,,2.8571157411453255e-05,0.0001773872167625,1.5293038530495408e-05,1.4366480165657189e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standing waves are produced by a 100-Hz generator in a string of fixed length. The tension in the string is increased until a new set of standing waves is produced. Will the wavelength of the new standing waves be greater than or less than the wavelength of the original standing waves?,high_school_physics,"['Less, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.'
 'Greater, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.'
 'Less, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.']",2,0.9434562590753208,0.0532268808080884,0.0002792867829798,0.0026497992194993,,,,,,,6.170248729843105e-06,0.0003165318983244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor,high_school_physics,"['I only' 'II only' 'II and III only' '(E) I, II, and III']",3,0.2044298296381165,0.6299657841477678,0.0402546154170251,0.1239929446542363,,,,0.0007429130262551,,,,,9.373582204143756e-05,8.805665567928577e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 1-kg object is released from rest at the top of a rough-surfaced incline. The object slides without rotating to the bottom of the incline. The objectâs kinetic energy at the bottom must be,high_school_physics,"['Equal to the blockâs gravitational potential energy when it was released, because total mechanical energy must be conserved.'
 'Equal to the blockâs gravitational potential energy when it was released, because the gain in kinetic energy compensates for the mechanical energy lost to thermal energy on the rough incline.'
 'Less than the blockâs gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy.'
 'Less than the blockâs gravitational potential energy when it was released, because the work done by the friction force must be greater than the blockâs gain in kinetic energy.']",2,0.690521632432146,0.2241943361284174,0.0642360713453888,0.020850655107773,,,,1.677921044794837e-05,2.154493268711821e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A student is experimenting with a simple spring-block oscillator of spring constant k and amplitude A. The block attached to the spring has a mass of m. If the student places a small block of mass m on top of the original block, which of the following is true?",high_school_physics,"['The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].'
 'The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).'
 'The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).']",0,0.972946973070658,0.022879641484377,0.0010052612892264,0.0030964227606403,,,,5.275127111200502e-06,,2.65250048932224e-06,,,,,3.6255383077876974e-06,2.65250048932224e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much work is required to charge a 10 ÂµF capacitor to a potential difference of 100 V ?,high_school_physics,['0.005 J' '0.01 J' '0.05 J' '0.1 J'],2,0.121061315086454,0.4788420471739052,0.1996553032038577,0.1996073467824659,0.0007197960127495,,,2.173595618285553e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A box of mass m slides on a horizontal surface with initial speed v0. It feels no forces other than gravity and the force from the surface. If the coefficient of kinetic friction between the box and the surface is Î¼, how far does the box slide before coming to rest?",high_school_physics,['v0^2/(2Î¼g)' 'v0^2/(Î¼g)' '2v0^2/(Î¼g)' 'mv0^2/(Î¼g)'],0,0.305184500616232,0.5031771557982191,0.0063334561361017,0.1851096782019356,,,,5.832914227969119e-05,1.3014990858188043e-05,1.0789806394289606e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A soccer ball, at rest on the ground, is kicked with an initial velocity of 10 m/s at a launch angle of 30Â°. Calculate its total flight time, assuming that air resistance is negligible.",high_school_physics,['0.5 s' '1 s' '2 s' '4 s'],1,0.4214232768627497,0.541176172387711,0.0237925061044373,0.0127243076941621,0.0006335059771029,4.885075879847197e-05,,,,,,,,,,,2.7834323338442343e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
