question,subject,choices,answer,wrong,d,c,b,iii,a,all,cd,iv,both,e,raise,r,ra,options,raising,option,а,con,not,the,h,4,д,s,g,op,there,none,sol,б,ab,no,more,un,2,3,bc,one,cb,infl,in,i,falls,f,fall,choice,ant,1,ii,dd,ba,true,cho,yes,dec,de,supp,sup,supply,ad,season,cl,ke,$,prom,(,inc,n,und,this,provide,find,determine,accurately,confident,calculate,definit,solve,correctly,с,right,bl,ex,x,bu,result,*,**,neither,',false,price,to,incorrect,flaw,contrad,ambig,incons,confusing,mis,tr,t,fore,are,is,therefore,for,fo,aren,m,checked,-,evalu,cons,se,check,work,th,net,exp,or,and,,"',",0,an,currency,cur,ch,left,shift,short,solution,response,multiple,answers,direct,fr,variable,correct,lower,im,import,imports,imm,exports,cap,ac,selling,o,.,",",directly,because,;,as,since,econom,up,best,consum,sub,consumer,sa,u,cannot,sp,implement,implementing,abc,tax,ax,govern,quantity,real,demand,total,quantum,quantities,quant,aggregate,amount,desired,increase,human,7,&,struct,structure,structural,stru,contr,dc,k,when,medium,med,medi,inflation,month,qu,that,such,these,it,his,any,dep,clos,cycl,cy,only,thus,hence,however,required,li,but,unfortunately,note,you,\,educ,class,be,something,some,those,given,provided,{',{,pr,cc,cs,db,w,current,sb,5,export,ans,det,expect,equal,actually,what,equivalent,indeed,equ,add,ris,negative,pos,according,bd,9,dis,does,enc,bb,p,da,poss,maybe,possible,app,appoint,def,sur,rem,remove,removal,sh,bud,unit,would,shifts,will,can,cancel,decrease,bar,definitions,statements,solutions,responses,alternatives,difference,differences,definition,tar
Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,high_school_macroeconomics,"['inflation had already impacted the economy before the fiscal stimulus.'
 'the economy initially had some unemployed resources.'
 'aggregate supply decreased.' 'aggregate demand is steeply sloped.']",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens,high_school_macroeconomics,['II III and IV only' 'I and III only' 'II and IV only' 'III and IV only'],3,,0.5929890343781472,0.35966600878596977,0.017906720438318164,0.016425869060444104,0.010860974960742812,0.000891523114706773,0.0002894351788965549,0.0001455371477248563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain?,high_school_macroeconomics,"['The price level rises but real GDP falls.'
 'Both the price level and real GDP rise.'
 'The price level rises but the change in real GDP is uncertain.'
 'Real GDP rises but the change in the price level is uncertain.']",3,,0.00039737550340116103,0.07572781807512893,0.922545565395192,,8.866650199243675e-05,,,,0.0012288769363194296,2.0852362597994524e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariffs and quotas,high_school_macroeconomics,"['result in lower domestic prices.'
 'sometimes raise and sometimes lower the amount of the product sold domestically.'
 'lower the amount of the product sold domestically.'
 'raise the amount of the product sold domestically.']",2,,0.058018757450706664,0.012945731555085794,0.02134390806842742,,0.9075811554609473,,,,,,3.4158856037148855e-05,9.193731379164454e-06,7.160085197441424e-06,4.921049791431432e-06,4.921049791431432e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A likely cause of falling Treasury bond prices might be,high_school_macroeconomics,"['expansionary monetary policy.' 'contractionary monetary policy.'
 'a depreciating dollar.'
 'fiscal policy designed to reduce the budget deficit.']",1,,7.407462547576902e-06,1.3838961959341138e-05,0.0004878404576117442,,0.9994861074376515,,,,,,,,,2.8721849232544375e-07,,3.925811327171514e-07,2.3811249341766673e-07,1.5373698049918767e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households demand more money as an asset when,high_school_macroeconomics,"['nominal GDP falls.' 'the nominal interest rate falls.'
 'bond prices fall.' 'the supply of money falls.']",1,,0.004032437116763103,0.0051777517491188585,0.9867117988335741,,0.004032437116763103,,,,,,,,,,,1.6317054218521578e-06,,,1.454323211886424e-05,1.53284538795149e-06,1.3527313070082725e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocative efficiency,high_school_macroeconomics,"['means that no inferior products will be produced.'
 ""implies that the economy's output is distributed evenly.""
 'means that those who work hardest will get more.'
 'implies that resources are used to produce the goods and services society desires in just the right amounts.']",3,,0.9999899678599146,3.7266105241617084e-06,2.902287194419277e-06,,3.089468636647581e-06,,,,,4.691110336029911e-08,,,,,,,,,,,,6.023504903948976e-08,4.1398903412289764e-08,3.224149839578872e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP measures,high_school_macroeconomics,"[""production within a nation's borders.""
 ""production by a nation's citizens wherever they may be.""
 'income earned by the factors of production plus depreciation and indirect business taxes.'
 '(A) and (C)']",3,,0.9999552486256393,1.568901783917194e-05,9.515870340236233e-06,,1.4263607811171611e-05,,,,,7.33785128931107e-07,,,,,,,,,,,,,,,2.3317314498909924e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every choice results in a foregone best alternative which economists call the,high_school_macroeconomics,['accounting cost' 'switching cost' 'inferior cost' 'opportunity cost'],3,,0.9998825015634193,9.515207885292622e-06,5.771265315969386e-06,,2.5609834597256484e-06,,,,,,,,,,,8.850522011837707e-07,,,,,,3.255925091790405e-07,,,,9.723662486393752e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a nation is operating at the natural rate of unemployment,high_school_macroeconomics,"['there is no cyclical unemployment.' 'the inflation rate is zero.'
 'there is no structural unemployment.'
 'the nation is experiencing a recession.']",0,,9.60578631598325e-05,0.9994479150182238,6.601953949332318e-05,,0.0003799160374788167,,,,,4.4483615801004136e-07,,,,,,,,,,5.040654043172687e-07,,,,,,,3.3405671159685424e-06,1.7593611340589345e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
